Gene Profile Size	Taxon Profile Size	Semantic similarity
11	39	0.267464922
11	22	0.173331603
11	48	0.36159824
11	6	0.046096415
11	19	0.13473435
11	285	1.009102207
11	118	0.701858158
11	34	0.36159824
11	3	0.096137097
11	48	0.765988495
11	8	0.096137097
11	5	0.105045076
11	166	0.746954475
11	38	0.733923327
11	83	0.654671473
11	2	0.765988495
11	614	0.733923327
11	128	0.727920455
11	9	0.042591885
11	166	0.727920455
11	74	0.654671473
11	228	0.727920455
11	233	0.678264815
11	23	0.40599236
11	19	0.37036845
11	25	0.096137097
11	65	0.541393486
11	52	0.541393486
11	48	0.397254078
11	16	0.424139706
11	38	0.364515724
11	247	0.727920455
11	4	0.654671473
11	75	0.482766596
11	171	0.714889306
11	11	0.233252774
11	117	0.598032479
11	88	0.539405589
11	16	0.424139706
11	17	0.096137097
11	58	0.388180405
11	47	0.595064101
11	517	0.710329984
11	236	0.714889306
11	57	0.642279922
11	112	0.701858158
11	24	0.512519961
11	9	0.096137097
11	2	0.071116756
11	179	0.678264815
11	8	0.096137097
11	24	0.591783767
11	45	0.37036845
11	3	0.035596024
11	2	0.035596024
11	13	0.173331603
11	81	0.585640929
11	292	0.727920455
11	11	0.654671473
11	20	0.512519961
11	22	0.173331603
11	97	0.527014039
11	55	0.173331603
11	157	0.388180405
11	105	0.37036845
11	165	0.665873265
11	4	0.039087356
11	165	0.765988495
11	69	0.541393486
11	11	0.13473435
11	24	0.329889381
11	31	0.173331603
11	2	0.03675855
11	2	0.046096415
11	2	0.03675855
11	14	0.36159824
11	19	0.13473435
11	24	0.271850026
11	2	0.03675855
11	12	0.096137097
11	187	0.678264815
11	103	0.642279922
11	128	0.291198398
11	157	0.365983345
11	2	0.046096415
11	2	0.046096415
11	952	0.765988495
11	17	0.041427482
11	105	0.527014039
11	2	0.765988495
11	6	0.041427482
11	20	0.246793765
11	11	0.096137097
11	52	0.367442087
11	4	0.03675855
11	8	0.37036845
11	15	0.36159824
11	18	0.251610492
11	35	0.37036845
11	4	0.041427482
11	2	1.557995453
11	52	0.365983345
11	314	0.746954475
11	2	0.071116756
11	113	0.714889306
11	15	0.041427482
11	14	0.071116756
11	13	0.652042196
11	198	0.714889306
11	164	0.678264815
11	349	0.714889306
11	7	0.173331603
11	60	0.710329984
11	196	0.642279922
11	22	0.042591885
11	248	0.701858158
11	16	0.096137097
11	37	0.678264815
11	34	0.678264815
11	25	0.367442087
11	116	0.585640929
11	283	0.781585806
11	18	0.37036845
11	96	0.654671473
11	42	0.665873265
11	7	0.096137097
11	43	0.642279922
11	5	0.37036845
11	15	0.042591885
11	361	0.903142662
11	566	0.797183117
11	40	0.388180405
11	28	0.37036845
11	56	0.765988495
11	26	0.654671473
11	2	0.034433497
11	21	0.173331603
11	19	0.260138402
11	22	0.046096415
11	14	0.710329984
11	17	0.096137097
11	198	0.714889306
11	129	0.642279922
11	121	0.424139706
11	244	0.654671473
11	40	0.37036845
11	159	0.629888372
